first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student8576;student5536;Original-Original;SMM;z5z5;SMM;28.426395939086298
student2267;student3485;Original-Original;SMM;z5z5;SMM;28.24302134646962
student5829;student8576;Original-Original;SMM;z5z5;SMM;28.24207492795389
student2267;student5536;Original-Original;SMM;z5z5;SMM;27.839999999999996
gpt7-student8288;student8288;Plag-Original;SMM;z5z5;SMM;27.765726681127983
student9081;student8705;Original-Original;SMM;z5z5;SMM;27.23146747352496
gpt1-student8288;student8288;Plag-Original;SMM;z5z5;SMM;26.81992337164751
student8576;student2371;Original-Original;SMM;z5z5;SMM;26.475849731663686
student6363;student4261;Original-Original;SMM;z5z5;SMM;26.443202979515828
student3485;student3542;Original-Original;SMM;z5z5;SMM;26.426426426426424
student3485;student5536;Original-Original;SMM;z5z5;SMM;26.39751552795031
student2267;student3542;Original-Original;SMM;z5z5;SMM;26.275115919629055
student8705;student3542;Original-Original;SMM;z5z5;SMM;25.936599423631122
student5536;student3542;Original-Original;SMM;z5z5;SMM;25.806451612903224
gpt6-student9081;student9081;Plag-Original;SMM;z5z5;SMM;25.64102564102564
student9081;student3542;Original-Original;SMM;z5z5;SMM;25.335320417287633
student1547;student4261;Original-Original;SMM;z5z5;SMM;24.866785079928952
gpt3-student8288;student8288;Plag-Original;SMM;z5z5;SMM;24.781849912739965
student1649;student3485;Original-Original;SMM;z5z5;SMM;24.125874125874127
student8412;student8789;Original-Original;SMM;z5z5;SMM;24.03628117913832
student8412;student2371;Original-Original;SMM;z5z5;SMM;23.694779116465863
student2371;student3485;Original-Original;SMM;z5z5;SMM;23.68
gpt5-student8412;student8412;Plag-Original;SMM;z5z5;SMM;23.668639053254438
student8412;student9081;Original-Original;SMM;z5z5;SMM;23.647294589178355
gpt13-student3542;student3542;Plag-Original;SMM;z5z5;SMM;23.47826086956522
gpt12-student3542;student3542;Plag-Original;SMM;z5z5;SMM;22.641509433962266
student5829;student3485;Original-Original;SMM;z5z5;SMM;22.5
student8412;student1649;Original-Original;SMM;z5z5;SMM;22.02247191011236
student1547;student5536;Original-Original;SMM;z5z5;SMM;21.333333333333336
student8412;student1547;Original-Original;SMM;z5z5;SMM;21.21212121212121
student8789;student2371;Original-Original;SMM;z5z5;SMM;21.20141342756184
student5829;student2267;Original-Original;SMM;z5z5;SMM;20.47244094488189
gpt9-student8288;student8288;Plag-Original;SMM;z5z5;SMM;20.306513409961685
student5829;student9081;Original-Original;SMM;z5z5;SMM;20.246913580246915
gpt6-student8288;student8288;Plag-Original;SMM;z5z5;SMM;20.03853564547206
student9081;student8288;Original-Original;SMM;z5z5;SMM;19.85185185185185
student8789;student5536;Original-Original;SMM;z5z5;SMM;19.727891156462583
student5829;student8705;Original-Original;SMM;z5z5;SMM;19.626168224299064
gpt8-student8288;student8288;Plag-Original;SMM;z5z5;SMM;19.574468085106382
student8412;student4261;Original-Original;SMM;z5z5;SMM;19.36842105263158
student1649;student8576;Original-Original;SMM;z5z5;SMM;19.26782273603083
student5829;student5536;Original-Original;SMM;z5z5;SMM;19.230769230769234
gpt6-student3542;student3542;Plag-Original;SMM;z5z5;SMM;18.837675350701403
student8576;student8288;Original-Original;SMM;z5z5;SMM;18.73990306946688
student4261;student8288;Original-Original;SMM;z5z5;SMM;18.633540372670808
gpt5-student8288;student8288;Plag-Original;SMM;z5z5;SMM;18.62348178137652
student2371;student9081;Original-Original;SMM;z5z5;SMM;18.412698412698415
student4261;student9081;Original-Original;SMM;z5z5;SMM;17.966101694915253
student5829;student3542;Original-Original;SMM;z5z5;SMM;17.80821917808219
student6363;student8288;Original-Original;SMM;z5z5;SMM;17.1900826446281
student1547;student3485;Original-Original;SMM;z5z5;SMM;17.043478260869566
student6363;student2267;Original-Original;SMM;z5z5;SMM;16.911764705882355
student8412;student5536;Original-Original;SMM;z5z5;SMM;16.764132553606238
student2267;student8288;Original-Original;SMM;z5z5;SMM;16.666666666666664
student2371;student8288;Original-Original;SMM;z5z5;SMM;16.320474777448073
student4261;student5536;Original-Original;SMM;z5z5;SMM;16.27906976744186
student1547;student2267;Original-Original;SMM;z5z5;SMM;16.100178890876567
student8789;student9081;Original-Original;SMM;z5z5;SMM;16.095890410958905
student8789;student1547;Original-Original;SMM;z5z5;SMM;15.925925925925927
student8705;student8288;Original-Original;SMM;z5z5;SMM;15.629522431259044
student2664;student1649;Original-Original;SMM;z5z5;SMM;15.584415584415584
student6363;student5536;Original-Original;SMM;z5z5;SMM;15.544041450777202
gpt1-student3542;student3542;Plag-Original;SMM;z5z5;SMM;15.476190476190476
student1547;student9081;Original-Original;SMM;z5z5;SMM;15.151515151515152
student6363;student9081;Original-Original;SMM;z5z5;SMM;14.94661921708185
gpt6-student5829;student5829;Plag-Original;SMM;z5z5;SMM;14.814814814814813
student6363;student8789;Original-Original;SMM;z5z5;SMM;14.785992217898833
student8789;student2267;Original-Original;SMM;z5z5;SMM;14.642857142857144
student3485;student8288;Original-Original;SMM;z5z5;SMM;14.47562776957164
student1649;student2267;Original-Original;SMM;z5z5;SMM;14.022140221402212
student4261;student8705;Original-Original;SMM;z5z5;SMM;13.938411669367909
student1649;student1547;Original-Original;SMM;z5z5;SMM;13.50844277673546
student8412;student8288;Original-Original;SMM;z5z5;SMM;13.454545454545455
student4261;student3542;Original-Original;SMM;z5z5;SMM;13.4375
student8789;student8705;Original-Original;SMM;z5z5;SMM;13.175675675675674
student1547;student2371;Original-Original;SMM;z5z5;SMM;12.969283276450511
student6363;student2371;Original-Original;SMM;z5z5;SMM;12.857142857142856
student1649;student8288;Original-Original;SMM;z5z5;SMM;12.850082372322898
student1649;student9081;Original-Original;SMM;z5z5;SMM;12.478336221837088
student4261;student2267;Original-Original;SMM;z5z5;SMM;12.34991423670669
student2371;student8705;Original-Original;SMM;z5z5;SMM;12.1875
student8576;student8789;Original-Original;SMM;z5z5;SMM;12.167300380228136
student2664;student8412;Original-Original;SMM;z5z5;SMM;12.096774193548388
student6363;student3485;Original-Original;SMM;z5z5;SMM;12.078152753108348
student1547;student8288;Original-Original;SMM;z5z5;SMM;11.912225705329153
student8412;student3542;Original-Original;SMM;z5z5;SMM;11.873840445269018
student8576;student4261;Original-Original;SMM;z5z5;SMM;11.657559198542804
student5829;student8288;Original-Original;SMM;z5z5;SMM;11.58129175946548
student2267;student2371;Original-Original;SMM;z5z5;SMM;11.486486486486488
student1547;student8705;Original-Original;SMM;z5z5;SMM;11.345218800648297
student1649;student8705;Original-Original;SMM;z5z5;SMM;11.333333333333332
student6363;student3542;Original-Original;SMM;z5z5;SMM;11.314475873544092
student6363;student8705;Original-Original;SMM;z5z5;SMM;11.16751269035533
student1649;student8789;Original-Original;SMM;z5z5;SMM;11.089866156787762
student2371;student5536;Original-Original;SMM;z5z5;SMM;10.9204368174727
