first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm56;subm20;Original-Original;Base;Progpedia56;Base;6.382978723404255
subm62;subm58;Original-Original;Base;Progpedia56;Base;6.25
subm56;subm65;Original-Original;Base;Progpedia56;Base;6.229508196721312
subm62;subm1;Original-Original;Base;Progpedia56;Base;6.164383561643835
subm38;subm20;Original-Original;Base;Progpedia56;Base;5.9405940594059405
subm40;plag-subm40;Plag-Original;Base;Progpedia56;Base;5.921052631578947
subm55;plag-subm55;Plag-Original;Base;Progpedia56;Base;5.863192182410423
subm9;subm20;Original-Original;Base;Progpedia56;Base;5.787781350482315
subm1;subm65;Original-Original;Base;Progpedia56;Base;5.654761904761905
subm85;plag-subm85;Plag-Original;Base;Progpedia56;Base;5.607476635514018
subm56;plag-subm56;Plag-Original;Base;Progpedia56;Base;5.454545454545454
subm62;subm20;Original-Original;Base;Progpedia56;Base;5.454545454545454
subm58;subm65;Original-Original;Base;Progpedia56;Base;5.389221556886228
subm25;subm20;Original-Original;Base;Progpedia56;Base;5.325443786982249
subm55;subm65;Original-Original;Base;Progpedia56;Base;4.026845637583892
subm70;subm65;Original-Original;Base;Progpedia56;Base;3.6850921273031827
subm11;subm65;Original-Original;Base;Progpedia56;Base;3.3232628398791544
subm13;subm65;Original-Original;Base;Progpedia56;Base;3.3057851239669422
subm26;subm65;Original-Original;Base;Progpedia56;Base;2.8346456692913384
subm16;subm65;Original-Original;Base;Progpedia56;Base;2.7993779160186625
subm98;subm65;Original-Original;Base;Progpedia56;Base;2.7777777777777777
subm62;subm65;Original-Original;Base;Progpedia56;Base;2.735562310030395
subm38;plag-subm38;Plag-Original;Base;Progpedia56;Base;0.0
subm40;subm48;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm85;Original-Original;Base;Progpedia56;Base;0.0
subm48;plag-subm48;Plag-Original;Base;Progpedia56;Base;0.0
subm13;subm48;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm58;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm11;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm98;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm9;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm7;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm26;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm24;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm25;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm69;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm62;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm63;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm20;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm65;Original-Original;Base;Progpedia56;Base;0.0
subm70;subm48;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm38;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm5;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm74;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm33;Original-Original;Base;Progpedia56;Base;0.0
subm48;subm1;Original-Original;Base;Progpedia56;Base;0.0
subm34;subm48;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm85;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm16;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm13;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm58;Original-Original;Base;Progpedia56;Base;0.0
subm55;subm40;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm9;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm7;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm26;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm24;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm69;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm62;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm20;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm65;Original-Original;Base;Progpedia56;Base;0.0
subm70;subm40;Original-Original;Base;Progpedia56;Base;0.0
subm40;subm5;Original-Original;Base;Progpedia56;Base;0.0
subm34;subm40;Original-Original;Base;Progpedia56;Base;0.0
subm55;subm85;Original-Original;Base;Progpedia56;Base;0.0
