first;second;tupleType;plagType;plagTypeGroup;tool;similarity
subm63;subm20;Original-Original;Both;Progpedia56;Both;9.72644376899696
subm56;subm69;Original-Original;Both;Progpedia56;Both;9.67741935483871
subm85;subm33;Original-Original;Both;Progpedia56;Both;9.66183574879227
subm5;subm9;Original-Original;Both;Progpedia56;Both;9.606986899563319
subm38;subm63;Original-Original;Both;Progpedia56;Both;9.6
subm11;subm65;Original-Original;Both;Progpedia56;Both;9.582689335394127
subm63;subm62;Original-Original;Both;Progpedia56;Both;9.386281588447654
subm40;subm33;Original-Original;Both;Progpedia56;Both;9.32642487046632
subm34;subm20;Original-Original;Both;Progpedia56;Both;9.266409266409266
subm85;subm1;Original-Original;Both;Progpedia56;Both;9.205020920502092
subm40;subm74;Original-Original;Both;Progpedia56;Both;9.183673469387756
subm55;subm7;Original-Original;Both;Progpedia56;Both;9.183673469387756
subm56;subm98;Original-Original;Both;Progpedia56;Both;9.1324200913242
subm40;subm63;Original-Original;Both;Progpedia56;Both;9.049773755656108
subm58;subm65;Original-Original;Both;Progpedia56;Both;9.006211180124224
subm85;subm58;Original-Original;Both;Progpedia56;Both;8.979591836734693
subm70;subm58;Original-Original;Both;Progpedia56;Both;8.849557522123893
subm26;subm24;Original-Original;Both;Progpedia56;Both;8.799999999999999
subm38;subm26;Original-Original;Both;Progpedia56;Both;8.771929824561402
subm56;subm63;Original-Original;Both;Progpedia56;Both;8.771929824561402
subm48;subm98;Original-Original;Both;Progpedia56;Both;8.695652173913043
subm9;subm11;Original-Original;Both;Progpedia56;Both;8.661417322834646
subm48;subm67;Original-Original;Both;Progpedia56;Both;8.653846153846153
subm85;subm38;Original-Original;Both;Progpedia56;Both;8.61244019138756
subm7;subm1;Original-Original;Both;Progpedia56;Both;8.527131782945736
subm26;subm9;Original-Original;Both;Progpedia56;Both;8.47457627118644
subm56;subm16;Original-Original;Both;Progpedia56;Both;8.411214953271028
subm69;subm20;Original-Original;Both;Progpedia56;Both;8.362369337979095
subm63;subm1;Original-Original;Both;Progpedia56;Both;8.275862068965518
subm9;subm7;Original-Original;Both;Progpedia56;Both;8.264462809917356
subm13;subm65;Original-Original;Both;Progpedia56;Both;8.24742268041237
subm69;subm25;Original-Original;Both;Progpedia56;Both;8.23045267489712
subm85;subm25;Original-Original;Both;Progpedia56;Both;8.19672131147541
subm40;subm65;Original-Original;Both;Progpedia56;Both;8.17717206132879
subm24;subm20;Original-Original;Both;Progpedia56;Both;8.176100628930817
subm67;subm98;Original-Original;Both;Progpedia56;Both;8.097165991902834
subm34;subm65;Original-Original;Both;Progpedia56;Both;8.084358523725834
subm5;subm26;Original-Original;Both;Progpedia56;Both;8.0
subm56;subm11;Original-Original;Both;Progpedia56;Both;7.964601769911504
subm74;subm7;Original-Original;Both;Progpedia56;Both;7.964601769911504
subm67;subm24;Original-Original;Both;Progpedia56;Both;7.936507936507936
subm40;subm25;Original-Original;Both;Progpedia56;Both;7.82608695652174
subm85;subm24;Original-Original;Both;Progpedia56;Both;7.792207792207792
subm74;subm67;Original-Original;Both;Progpedia56;Both;7.792207792207792
subm38;subm58;Original-Original;Both;Progpedia56;Both;7.6923076923076925
subm33;subm7;Original-Original;Both;Progpedia56;Both;7.659574468085106
subm85;subm62;Original-Original;Both;Progpedia56;Both;7.627118644067797
subm11;subm1;Original-Original;Both;Progpedia56;Both;7.508532423208192
subm56;subm1;Original-Original;Both;Progpedia56;Both;7.43801652892562
subm5;subm58;Original-Original;Both;Progpedia56;Both;7.43801652892562
subm9;subm16;Original-Original;Both;Progpedia56;Both;7.377049180327869
subm25;subm1;Original-Original;Both;Progpedia56;Both;7.357859531772576
subm16;subm58;Original-Original;Both;Progpedia56;Both;7.352941176470589
subm9;subm24;Original-Original;Both;Progpedia56;Both;7.346938775510205
subm33;subm62;Original-Original;Both;Progpedia56;Both;7.228915662650602
subm7;subm63;Original-Original;Both;Progpedia56;Both;7.199999999999999
subm98;subm24;Original-Original;Both;Progpedia56;Both;7.171314741035857
subm1;subm20;Original-Original;Both;Progpedia56;Both;6.997084548104956
subm85;subm20;Original-Original;Both;Progpedia56;Both;6.944444444444445
subm5;subm1;Original-Original;Both;Progpedia56;Both;6.896551724137931
subm26;subm25;Original-Original;Both;Progpedia56;Both;6.844106463878327
subm16;subm62;Original-Original;Both;Progpedia56;Both;6.844106463878327
subm9;subm25;Original-Original;Both;Progpedia56;Both;6.844106463878327
subm7;subm62;Original-Original;Both;Progpedia56;Both;6.8181818181818175
subm7;subm25;Original-Original;Both;Progpedia56;Both;6.8181818181818175
subm16;subm11;Original-Original;Both;Progpedia56;Both;6.7924528301886795
subm67;subm58;Original-Original;Both;Progpedia56;Both;6.7669172932330826
subm98;subm58;Original-Original;Both;Progpedia56;Both;6.7669172932330826
subm70;subm65;Original-Original;Both;Progpedia56;Both;6.756756756756757
subm26;subm20;Original-Original;Both;Progpedia56;Both;6.756756756756757
subm74;subm20;Original-Original;Both;Progpedia56;Both;6.7340067340067336
subm67;subm1;Original-Original;Both;Progpedia56;Both;6.666666666666667
subm98;subm11;Original-Original;Both;Progpedia56;Both;6.666666666666667
subm13;subm20;Original-Original;Both;Progpedia56;Both;6.593406593406594
subm63;subm58;Original-Original;Both;Progpedia56;Both;6.4981949458483745
subm62;subm11;Original-Original;Both;Progpedia56;Both;6.428571428571428
subm56;subm20;Original-Original;Both;Progpedia56;Both;6.405693950177936
subm55;subm65;Original-Original;Both;Progpedia56;Both;4.060913705583756
subm85;subm65;Original-Original;Both;Progpedia56;Both;3.0927835051546393
subm1;subm65;Original-Original;Both;Progpedia56;Both;3.003003003003003
subm56;subm65;Original-Original;Both;Progpedia56;Both;2.980132450331126
subm16;subm65;Original-Original;Both;Progpedia56;Both;2.8213166144200628
subm98;subm65;Original-Original;Both;Progpedia56;Both;2.7993779160186625
subm24;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm33;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm34;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm48;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm25;subm58;Original-Original;Both;Progpedia56;Both;0.0
subm56;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm62;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm63;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm25;subm65;Original-Original;Both;Progpedia56;Both;0.0
subm70;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm16;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm13;subm25;Original-Original;Both;Progpedia56;Both;0.0
subm34;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm48;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm40;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm55;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm69;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm62;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm63;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm65;Original-Original;Both;Progpedia56;Both;0.0
subm74;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm1;Original-Original;Both;Progpedia56;Both;0.0
subm70;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm7;Original-Original;Both;Progpedia56;Both;0.0
subm26;subm98;Original-Original;Both;Progpedia56;Both;0.0
subm13;subm26;Original-Original;Both;Progpedia56;Both;0.0
subm33;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm48;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm40;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm55;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm62;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm20;subm65;Original-Original;Both;Progpedia56;Both;0.0
subm70;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm7;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm9;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm16;subm20;Original-Original;Both;Progpedia56;Both;0.0
subm38;subm24;Original-Original;Both;Progpedia56;Both;0.0
subm33;subm24;Original-Original;Both;Progpedia56;Both;0.0
subm34;subm24;Original-Original;Both;Progpedia56;Both;0.0
subm48;subm24;Original-Original;Both;Progpedia56;Both;0.0
subm40;subm24;Original-Original;Both;Progpedia56;Both;0.0
subm55;subm24;Original-Original;Both;Progpedia56;Both;0.0
