first;second;tupleType;plagType;plagTypeGroup;tool;similarity
gpt10-student8288;student8288;Plag-Original;Both;z5z5;Both;100.0
student8412;gpt8-student8412;Plag-Original;Both;z5z5;Both;100.0
gpt14-student5829;student5829;Plag-Original;Both;z5z5;Both;100.0
gpt5-student5829;student5829;Plag-Original;Both;z5z5;Both;100.0
gpt0-student5829;student5829;Plag-Original;Both;z5z5;Both;100.0
gpt1-student5829;student5829;Plag-Original;Both;z5z5;Both;100.0
student5829;gpt7-student5829;Plag-Original;Both;z5z5;Both;100.0
student5829;gpt4-student5829;Plag-Original;Both;z5z5;Both;100.0
gpt10-student9081;student9081;Plag-Original;Both;z5z5;Both;99.6078431372549
gpt10-student8412;student8412;Plag-Original;Both;z5z5;Both;97.82608695652173
gpt9-student5829;student5829;Plag-Original;Both;z5z5;Both;97.3913043478261
student8412;gpt7-student8412;Plag-Original;Both;z5z5;Both;96.62337662337663
student9081;gpt14-student9081;Plag-Original;Both;z5z5;Both;95.90643274853801
student8412;gpt13-student8412;Plag-Original;Both;z5z5;Both;95.67567567567568
gpt14-student8412;student8412;Plag-Original;Both;z5z5;Both;95.18716577540107
student5829;gpt12-student5829;Plag-Original;Both;z5z5;Both;95.0
gpt5-student9081;student9081;Plag-Original;Both;z5z5;Both;93.1237721021611
gpt3-student5829;student5829;Plag-Original;Both;z5z5;Both;93.10344827586206
gpt11-student5829;student5829;Plag-Original;Both;z5z5;Both;93.10344827586206
student5829;gpt13-student5829;Plag-Original;Both;z5z5;Both;88.70967741935483
gpt14-student8288;student8288;Plag-Original;Both;z5z5;Both;88.1542699724518
gpt10-student5829;student5829;Plag-Original;Both;z5z5;Both;88.13559322033898
student5829;gpt8-student5829;Plag-Original;Both;z5z5;Both;83.72093023255815
gpt8-student9081;student9081;Plag-Original;Both;z5z5;Both;81.14035087719299
student1649;student2371;Original-Original;Both;z5z5;Both;80.90737240075615
student8412;gpt12-student8412;Plag-Original;Both;z5z5;Both;78.04878048780488
gpt11-student8288;student8288;Plag-Original;Both;z5z5;Both;76.94656488549619
gpt10-student3542;student3542;Plag-Original;Both;z5z5;Both;76.6743648960739
gpt4-student8412;student8412;Plag-Original;Both;z5z5;Both;74.2671009771987
gpt12-student9081;student9081;Plag-Original;Both;z5z5;Both;72.09876543209876
gpt3-student8412;student8412;Plag-Original;Both;z5z5;Both;71.7948717948718
gpt14-student3542;student3542;Plag-Original;Both;z5z5;Both;67.13615023474179
student8412;student6363;Original-Original;Both;z5z5;Both;62.254901960784316
gpt2-student8412;student8412;Plag-Original;Both;z5z5;Both;61.18421052631579
gpt2-student5829;student5829;Plag-Original;Both;z5z5;Both;57.943925233644855
student8576;student3485;Original-Original;Both;z5z5;Both;54.50346420323326
student8412;student8576;Original-Original;Both;z5z5;Both;53.908355795148246
