first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student6516;student5154;Original-Original;TSN;z5z1;TSN;26.96629213483146
student4100;student9443;Original-Original;TSN;z5z1;TSN;26.708727655099896
student5381;student2035;Original-Original;TSN;z5z1;TSN;26.666666666666668
student8886;student2664;Original-Original;TSN;z5z1;TSN;26.408450704225352
student6516;student6267;Original-Original;TSN;z5z1;TSN;26.332970620239394
student1583;student3568;Original-Original;TSN;z5z1;TSN;26.272912423625254
student7255;student6267;Original-Original;TSN;z5z1;TSN;26.210153482880756
student8665;student8789;Original-Original;TSN;z5z1;TSN;26.108374384236456
student2664;student8288;Original-Original;TSN;z5z1;TSN;26.013986013986013
student6516;student8560;Original-Original;TSN;z5z1;TSN;25.9765625
student8886;student4011;Original-Original;TSN;z5z1;TSN;25.966303270564918
student3568;student8560;Original-Original;TSN;z5z1;TSN;25.70951585976628
student2664;student1597;Original-Original;TSN;z5z1;TSN;25.604551920341397
student1583;student2664;Original-Original;TSN;z5z1;TSN;25.311601150527324
student8412;student1551;Original-Original;TSN;z5z1;TSN;25.029797377830754
student8412;student1424;Original-Original;TSN;z5z1;TSN;25.0258531540848
student7255;student7888;Original-Original;TSN;z5z1;TSN;25.0
student3867;student8006;Original-Original;TSN;z5z1;TSN;24.95446265938069
student1424;student5154;Original-Original;TSN;z5z1;TSN;24.898949070331447
student8665;student8006;Original-Original;TSN;z5z1;TSN;24.680851063829788
student1583;student8288;Original-Original;TSN;z5z1;TSN;24.564315352697093
student1547;student3350;Original-Original;TSN;z5z1;TSN;24.524714828897338
student1424;student2267;Original-Original;TSN;z5z1;TSN;24.475524475524477
student8560;student1597;Original-Original;TSN;z5z1;TSN;24.194702934860416
student1583;student9443;Original-Original;TSN;z5z1;TSN;24.145299145299145
student1583;student5170;Original-Original;TSN;z5z1;TSN;24.10958904109589
student8886;student8288;Original-Original;TSN;z5z1;TSN;23.882896764252695
student6790;student3568;Original-Original;TSN;z5z1;TSN;23.773173391494
student8412;student9443;Original-Original;TSN;z5z1;TSN;23.758099352051836
student9160;student4011;Original-Original;TSN;z5z1;TSN;23.647294589178355
student9443;student2664;Original-Original;TSN;z5z1;TSN;23.60034453057709
student1583;plag-student1583;Plag-Original;TSN;z5z1;TSN;23.420387531592247
student3568;student5829;Original-Original;TSN;z5z1;TSN;23.3278955954323
student6267;student9443;Original-Original;TSN;z5z1;TSN;23.304680038204392
student4628;student8560;Original-Original;TSN;z5z1;TSN;23.106060606060606
student8886;student8560;Original-Original;TSN;z5z1;TSN;23.070097604259097
student4167;student1551;Original-Original;TSN;z5z1;TSN;23.021582733812952
student3568;student2371;Original-Original;TSN;z5z1;TSN;22.77465918203689
student1220;student1583;Original-Original;TSN;z5z1;TSN;22.772277227722775
student9160;student8886;Original-Original;TSN;z5z1;TSN;22.759315206445116
student8006;student5154;Original-Original;TSN;z5z1;TSN;22.604422604422606
student4011;student5287;Original-Original;TSN;z5z1;TSN;22.571148184494604
student8560;student5154;Original-Original;TSN;z5z1;TSN;22.56568778979907
student1583;student5154;Original-Original;TSN;z5z1;TSN;22.448979591836736
student5381;student7255;Original-Original;TSN;z5z1;TSN;22.35772357723577
student1220;student8789;Original-Original;TSN;z5z1;TSN;22.357229647630618
student5381;student8412;Original-Original;TSN;z5z1;TSN;22.340425531914892
student5381;student4110;Original-Original;TSN;z5z1;TSN;22.22222222222222
student1424;student8560;Original-Original;TSN;z5z1;TSN;22.129086336965635
student1583;student8006;Original-Original;TSN;z5z1;TSN;22.06035379812695
student5381;student9451;Original-Original;TSN;z5z1;TSN;22.04724409448819
student4100;student6267;Original-Original;TSN;z5z1;TSN;22.033898305084744
student9160;student8705;Original-Original;TSN;z5z1;TSN;22.02020202020202
student9443;student5536;Original-Original;TSN;z5z1;TSN;21.882951653944023
student9160;student8560;Original-Original;TSN;z5z1;TSN;21.863799283154123
student6516;student1597;Original-Original;TSN;z5z1;TSN;21.861656703672075
student7255;student8789;Original-Original;TSN;z5z1;TSN;21.837549933422103
student8705;student3568;Original-Original;TSN;z5z1;TSN;21.828358208955223
student3568;student5154;Original-Original;TSN;z5z1;TSN;21.73913043478261
student1583;student1424;Original-Original;TSN;z5z1;TSN;21.699078812691912
student9443;student5829;Original-Original;TSN;z5z1;TSN;21.694915254237287
student8886;student3568;Original-Original;TSN;z5z1;TSN;21.58139534883721
student1424;student3568;Original-Original;TSN;z5z1;TSN;21.56003505696757
student6516;student1583;Original-Original;TSN;z5z1;TSN;21.534653465346533
student3568;student3485;Original-Original;TSN;z5z1;TSN;21.34646962233169
student1220;student6516;Original-Original;TSN;z5z1;TSN;21.303258145363408
student6363;student8886;Original-Original;TSN;z5z1;TSN;21.285140562248998
student1547;student2664;Original-Original;TSN;z5z1;TSN;21.26126126126126
student6267;student5170;Original-Original;TSN;z5z1;TSN;21.22719734660033
student2664;student5829;Original-Original;TSN;z5z1;TSN;21.134421134421135
student6516;student1531;Original-Original;TSN;z5z1;TSN;21.071752951861946
student1583;student1531;Original-Original;TSN;z5z1;TSN;21.062106210621064
student1424;student5170;Original-Original;TSN;z5z1;TSN;21.052631578947366
student8705;student9443;Original-Original;TSN;z5z1;TSN;21.052631578947366
student9443;student2371;Original-Original;TSN;z5z1;TSN;20.982514571190674
student1583;student4412;Original-Original;TSN;z5z1;TSN;20.822397200349958
student1220;student8412;Original-Original;TSN;z5z1;TSN;20.80200501253133
student6516;student1547;Original-Original;TSN;z5z1;TSN;20.8
student7255;student1531;Original-Original;TSN;z5z1;TSN;20.796890184645285
student9451;student8412;Original-Original;TSN;z5z1;TSN;20.754716981132077
student6516;student9443;Original-Original;TSN;z5z1;TSN;20.734341252699785
student4628;student3568;Original-Original;TSN;z5z1;TSN;20.717131474103585
student1583;student4100;Original-Original;TSN;z5z1;TSN;20.64825930372149
