first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student8412;student2371;Original-Original;Base;z5z5;Base;23.694779116465863
student2371;student3485;Original-Original;Base;z5z5;Base;23.68
gpt5-student8412;student8412;Plag-Original;Base;z5z5;Base;23.668639053254438
gpt11-student3542;student3542;Plag-Original;Base;z5z5;Base;23.52941176470588
gpt13-student3542;student3542;Plag-Original;Base;z5z5;Base;23.47826086956522
student8789;student4261;Original-Original;Base;z5z5;Base;23.146473779385172
gpt12-student3542;student3542;Plag-Original;Base;z5z5;Base;22.641509433962266
student5829;student3485;Original-Original;Base;z5z5;Base;22.5
student8412;student1649;Original-Original;Base;z5z5;Base;22.02247191011236
student8412;student8576;Original-Original;Base;z5z5;Base;21.875
student8412;student1547;Original-Original;Base;z5z5;Base;21.21212121212121
gpt2-student8288;student8288;Plag-Original;Base;z5z5;Base;20.754716981132077
student8576;student1547;Original-Original;Base;z5z5;Base;20.522388059701495
student5829;student2267;Original-Original;Base;z5z5;Base;20.47244094488189
student5829;student9081;Original-Original;Base;z5z5;Base;20.246913580246915
gpt3-student8288;student8288;Plag-Original;Base;z5z5;Base;20.17094017094017
gpt4-student8288;student8288;Plag-Original;Base;z5z5;Base;20.14388489208633
student6363;student1547;Original-Original;Base;z5z5;Base;19.84732824427481
student1547;student5536;Original-Original;Base;z5z5;Base;19.834710743801654
student5829;student8705;Original-Original;Base;z5z5;Base;19.626168224299064
gpt8-student8288;student8288;Plag-Original;Base;z5z5;Base;19.574468085106382
student8412;student3485;Original-Original;Base;z5z5;Base;19.560878243512974
gpt6-student8412;student8412;Plag-Original;Base;z5z5;Base;19.51219512195122
student8412;student4261;Original-Original;Base;z5z5;Base;19.36842105263158
student1649;student8576;Original-Original;Base;z5z5;Base;19.26782273603083
student5829;student5536;Original-Original;Base;z5z5;Base;19.230769230769234
student8412;student2267;Original-Original;Base;z5z5;Base;19.08713692946058
gpt6-student3542;student3542;Plag-Original;Base;z5z5;Base;18.837675350701403
student2371;student9081;Original-Original;Base;z5z5;Base;18.412698412698415
gpt1-student8288;student8288;Plag-Original;Base;z5z5;Base;18.21493624772313
student5829;student3542;Original-Original;Base;z5z5;Base;17.80821917808219
student8576;student2371;Original-Original;Base;z5z5;Base;17.482517482517483
student6363;student2267;Original-Original;Base;z5z5;Base;16.911764705882355
student2371;student8288;Original-Original;Base;z5z5;Base;16.320474777448073
student8789;student9081;Original-Original;Base;z5z5;Base;16.095890410958905
student8789;student1547;Original-Original;Base;z5z5;Base;15.925925925925927
student4261;student5536;Original-Original;Base;z5z5;Base;15.857605177993527
student1547;student2267;Original-Original;Base;z5z5;Base;15.789473684210526
student6363;student5536;Original-Original;Base;z5z5;Base;15.544041450777202
student8705;student8288;Original-Original;Base;z5z5;Base;15.319148936170212
student1547;student9081;Original-Original;Base;z5z5;Base;15.151515151515152
student6363;student8789;Original-Original;Base;z5z5;Base;14.785992217898833
student8789;student2267;Original-Original;Base;z5z5;Base;14.642857142857144
student3485;student8288;Original-Original;Base;z5z5;Base;14.47562776957164
gpt6-student5829;student5829;Plag-Original;Base;z5z5;Base;14.285714285714285
student8412;student8705;Original-Original;Base;z5z5;Base;13.988657844990549
student8412;student5536;Original-Original;Base;z5z5;Base;13.539651837524177
student1649;student1547;Original-Original;Base;z5z5;Base;13.50844277673546
student8412;student8288;Original-Original;Base;z5z5;Base;13.454545454545455
student4261;student3542;Original-Original;Base;z5z5;Base;13.4375
student6363;student8576;Original-Original;Base;z5z5;Base;13.333333333333334
student1547;student3485;Original-Original;Base;z5z5;Base;13.242784380305602
gpt9-student8288;student8288;Plag-Original;Base;z5z5;Base;13.157894736842104
student1547;student2371;Original-Original;Base;z5z5;Base;12.969283276450511
student6363;student2371;Original-Original;Base;z5z5;Base;12.857142857142856
student8412;student9081;Original-Original;Base;z5z5;Base;12.648221343873518
student8576;student8288;Original-Original;Base;z5z5;Base;12.5
student1649;student9081;Original-Original;Base;z5z5;Base;12.478336221837088
student6363;student8288;Original-Original;Base;z5z5;Base;12.418300653594772
student4261;student2267;Original-Original;Base;z5z5;Base;12.34991423670669
student1649;student2267;Original-Original;Base;z5z5;Base;12.296564195298371
student8576;student8789;Original-Original;Base;z5z5;Base;12.167300380228136
student6363;student3485;Original-Original;Base;z5z5;Base;12.078152753108348
student1649;student8288;Original-Original;Base;z5z5;Base;11.916264090177133
student1547;student8288;Original-Original;Base;z5z5;Base;11.912225705329153
student8412;student3542;Original-Original;Base;z5z5;Base;11.873840445269018
student8576;student4261;Original-Original;Base;z5z5;Base;11.657559198542804
student5829;student8288;Original-Original;Base;z5z5;Base;11.58129175946548
student1547;student8705;Original-Original;Base;z5z5;Base;11.345218800648297
student1649;student8705;Original-Original;Base;z5z5;Base;11.333333333333332
student6363;student3542;Original-Original;Base;z5z5;Base;11.314475873544092
student6363;student9081;Original-Original;Base;z5z5;Base;11.267605633802818
student2267;student2371;Original-Original;Base;z5z5;Base;11.221122112211221
student6363;student8705;Original-Original;Base;z5z5;Base;11.16751269035533
student1649;student8789;Original-Original;Base;z5z5;Base;11.089866156787762
student2371;student5536;Original-Original;Base;z5z5;Base;10.9204368174727
student2371;student8705;Original-Original;Base;z5z5;Base;10.719754977029096
student4261;student2371;Original-Original;Base;z5z5;Base;10.684474123539232
student4261;student3485;Original-Original;Base;z5z5;Base;10.631229235880399
gpt5-student8288;student8288;Plag-Original;Base;z5z5;Base;10.62992125984252
student4261;student9081;Original-Original;Base;z5z5;Base;10.543657331136739
student8789;student5536;Original-Original;Base;z5z5;Base;10.420168067226891
student5536;student8288;Original-Original;Base;z5z5;Base;10.38961038961039
student8789;student3485;Original-Original;Base;z5z5;Base;10.362694300518134
student1547;student3542;Original-Original;Base;z5z5;Base;10.207336523125997
student4261;student8705;Original-Original;Base;z5z5;Base;10.158730158730158
student8789;student2371;Original-Original;Base;z5z5;Base;10.069444444444445
student2267;student8288;Original-Original;Base;z5z5;Base;10.030395136778116
student4261;student8288;Original-Original;Base;z5z5;Base;9.831029185867896
student2371;student3542;Original-Original;Base;z5z5;Base;9.653092006033184
student8789;student8288;Original-Original;Base;z5z5;Base;9.554140127388536
student5829;student8412;Original-Original;Base;z5z5;Base;9.523809523809524
student9081;student8288;Original-Original;Base;z5z5;Base;9.3841642228739
gpt1-student3542;student3542;Plag-Original;Base;z5z5;Base;9.248554913294797
student3542;student8288;Original-Original;Base;z5z5;Base;8.951048951048952
gpt13-student8288;student8288;Plag-Original;Base;z5z5;Base;8.928571428571429
student2664;student4261;Original-Original;Base;z5z5;Base;8.356545961002785
student5829;student1547;Original-Original;Base;z5z5;Base;8.310249307479225
student6363;student1649;Original-Original;Base;z5z5;Base;8.284023668639055
student2664;student8576;Original-Original;Base;z5z5;Base;7.83132530120482
student8412;student8789;Original-Original;Base;z5z5;Base;7.52212389380531
student1649;student4261;Original-Original;Base;z5z5;Base;7.326007326007327
student2664;student1649;Original-Original;Base;z5z5;Base;7.29483282674772
student5829;student6363;Original-Original;Base;z5z5;Base;7.164179104477612
student1649;student5536;Original-Original;Base;z5z5;Base;7.142857142857142
student2664;student2267;Original-Original;Base;z5z5;Base;7.103825136612022
student5829;student1649;Original-Original;Base;z5z5;Base;6.976744186046512
student8789;student3542;Original-Original;Base;z5z5;Base;6.807131280388978
student1649;student3542;Original-Original;Base;z5z5;Base;6.557377049180328
student5829;student2371;Original-Original;Base;z5z5;Base;6.54911838790932
student5829;student4261;Original-Original;Base;z5z5;Base;6.417112299465241
student8789;student8705;Original-Original;Base;z5z5;Base;5.601317957166392
gpt6-student8288;student8288;Plag-Original;Base;z5z5;Base;5.323193916349809
student2664;student8705;Original-Original;Base;z5z5;Base;0.0
student8089;student8705;Original-Original;Base;z5z5;Base;0.0
student2664;student6363;Original-Original;Base;z5z5;Base;0.0
student8089;student6363;Original-Original;Base;z5z5;Base;0.0
student5829;student8789;Original-Original;Base;z5z5;Base;0.0
student2664;student8789;Original-Original;Base;z5z5;Base;0.0
student8089;student8789;Original-Original;Base;z5z5;Base;0.0
student2664;student9081;Original-Original;Base;z5z5;Base;0.0
student8089;student9081;Original-Original;Base;z5z5;Base;0.0
student2664;student3485;Original-Original;Base;z5z5;Base;0.0
student8089;student3485;Original-Original;Base;z5z5;Base;0.0
student2664;student1547;Original-Original;Base;z5z5;Base;0.0
student8089;student1547;Original-Original;Base;z5z5;Base;0.0
student2664;student8412;Original-Original;Base;z5z5;Base;0.0
student8089;student8412;Original-Original;Base;z5z5;Base;0.0
student8089;student8576;Original-Original;Base;z5z5;Base;0.0
student8089;student4261;Original-Original;Base;z5z5;Base;0.0
student2664;student5829;Original-Original;Base;z5z5;Base;0.0
student8089;student5829;Original-Original;Base;z5z5;Base;0.0
student2664;student5536;Original-Original;Base;z5z5;Base;0.0
student8089;student5536;Original-Original;Base;z5z5;Base;0.0
student8089;student2267;Original-Original;Base;z5z5;Base;0.0
student2664;student8288;Original-Original;Base;z5z5;Base;0.0
student8089;student8288;Original-Original;Base;z5z5;Base;0.0
student2664;student3542;Original-Original;Base;z5z5;Base;0.0
student2664;student2371;Original-Original;Base;z5z5;Base;0.0
student8089;student2664;Original-Original;Base;z5z5;Base;0.0
student8089;student3542;Original-Original;Base;z5z5;Base;0.0
student8089;student2371;Original-Original;Base;z5z5;Base;0.0
student8089;student1649;Original-Original;Base;z5z5;Base;0.0
