first;second;tupleType;plagType;plagTypeGroup;tool;similarity
student6363;student1649;Original-Original;Both;z5z5;Both;13.387423935091277
student3485;student4261;Original-Original;Both;z5z5;Both;13.307984790874524
student3542;student8705;Original-Original;Both;z5z5;Both;13.307984790874524
student8576;student4261;Original-Original;Both;z5z5;Both;13.278008298755188
student1547;student2371;Original-Original;Both;z5z5;Both;13.171577123050259
student3485;student9081;Original-Original;Both;z5z5;Both;13.147410358565736
student6363;student2371;Original-Original;Both;z5z5;Both;13.043478260869565
student2267;student8789;Original-Original;Both;z5z5;Both;13.025210084033615
student1649;student8288;Original-Original;Both;z5z5;Both;13.02170283806344
student9081;student3542;Original-Original;Both;z5z5;Both;12.749003984063744
student1649;student8705;Original-Original;Both;z5z5;Both;12.734082397003746
student1547;student8705;Original-Original;Both;z5z5;Both;12.544802867383511
student3542;student1547;Original-Original;Both;z5z5;Both;12.524461839530332
student3542;student5536;Original-Original;Both;z5z5;Both;12.386156648451731
student9081;student8705;Original-Original;Both;z5z5;Both;12.244897959183673
student8789;student3485;Original-Original;Both;z5z5;Both;12.244897959183673
student2664;student8412;Original-Original;Both;z5z5;Both;12.096774193548388
student5536;student2371;Original-Original;Both;z5z5;Both;11.804384485666104
student3485;student8288;Original-Original;Both;z5z5;Both;11.804384485666104
student8789;student1649;Original-Original;Both;z5z5;Both;11.76470588235294
student8789;student5536;Original-Original;Both;z5z5;Both;11.632270168855536
student3542;student2371;Original-Original;Both;z5z5;Both;11.387900355871885
student5536;student8288;Original-Original;Both;z5z5;Both;11.0260336906585
student4261;student2371;Original-Original;Both;z5z5;Both;10.90289608177172
student2267;student8288;Original-Original;Both;z5z5;Both;10.738255033557047
student8789;student2371;Original-Original;Both;z5z5;Both;10.622710622710622
student5829;student8412;Original-Original;Both;z5z5;Both;10.569105691056912
student3542;student8288;Original-Original;Both;z5z5;Both;10.289389067524116
student5829;student8576;Original-Original;Both;z5z5;Both;10.116731517509727
student8789;student8288;Original-Original;Both;z5z5;Both;9.900990099009901
student2664;student8576;Original-Original;Both;z5z5;Both;9.66542750929368
student5829;student1547;Original-Original;Both;z5z5;Both;9.00900900900901
student2664;student2267;Original-Original;Both;z5z5;Both;8.552631578947368
student2664;student4261;Original-Original;Both;z5z5;Both;8.450704225352112
student5829;student2267;Original-Original;Both;z5z5;Both;8.21917808219178
student1649;student3542;Original-Original;Both;z5z5;Both;7.858546168958743
student5829;student3485;Original-Original;Both;z5z5;Both;7.8431372549019605
student5829;student6363;Original-Original;Both;z5z5;Both;7.792207792207792
student1649;student5536;Original-Original;Both;z5z5;Both;7.777777777777778
student5829;student1649;Original-Original;Both;z5z5;Both;7.766990291262135
student5829;student9081;Original-Original;Both;z5z5;Both;7.643312101910828
student5829;student8705;Original-Original;Both;z5z5;Both;7.580174927113703
student8789;student3542;Original-Original;Both;z5z5;Both;7.569721115537849
student5829;student3542;Original-Original;Both;z5z5;Both;7.547169811320755
student1649;student4261;Original-Original;Both;z5z5;Both;7.490636704119851
student2664;student1547;Original-Original;Both;z5z5;Both;7.317073170731707
student5829;student2371;Original-Original;Both;z5z5;Both;7.18232044198895
student5829;student4261;Original-Original;Both;z5z5;Both;6.997084548104956
student5829;student5536;Original-Original;Both;z5z5;Both;6.876790830945559
student5829;student8288;Original-Original;Both;z5z5;Both;6.6350710900473935
student2664;student5536;Original-Original;Both;z5z5;Both;0.0
student8089;student5536;Original-Original;Both;z5z5;Both;0.0
student8089;student2267;Original-Original;Both;z5z5;Both;0.0
student2664;student8705;Original-Original;Both;z5z5;Both;0.0
student8089;student8705;Original-Original;Both;z5z5;Both;0.0
student2664;student6363;Original-Original;Both;z5z5;Both;0.0
student8089;student6363;Original-Original;Both;z5z5;Both;0.0
student2664;student8288;Original-Original;Both;z5z5;Both;0.0
student8089;student8288;Original-Original;Both;z5z5;Both;0.0
student2664;student9081;Original-Original;Both;z5z5;Both;0.0
student2664;student3485;Original-Original;Both;z5z5;Both;0.0
student2664;student3542;Original-Original;Both;z5z5;Both;0.0
student2664;student2371;Original-Original;Both;z5z5;Both;0.0
student8089;student2664;Original-Original;Both;z5z5;Both;0.0
student5829;student2664;Original-Original;Both;z5z5;Both;0.0
student8089;student8789;Original-Original;Both;z5z5;Both;0.0
